annee;numero_du_trimestre;paris;seine_et_marne;yvelines;essonne;hauts_de_seine;seine_saint_denis;val_de_marne;val_d_oise;ile_de_france;france_metropolitaine
2002;2;8,3;5,5;5,7;5,5;6,7;10,9;7;7,5;01-07-03;7,9
1994;2;10,4;8,3;7,7;7,7;9,1;13,3;9,4;10,2;01-09-06;10,8
1996;2;10,2;8,1;7,4;7,6;8,7;13,6;9;9,9;01-09-04;10,5
1996;3;10,3;8,2;7,5;7,7;8,7;13,8;9,1;10,1;01-09-05;10,7
1997;2;10,3;8,5;7,6;7,9;8,8;14;9,5;10,3;01-09-07;10,8
2012;2;8,4;7,7;7;7,2;7,7;12,3;8,5;9,7;01-08-06;9,8
1984;3;7,7;6,4;4,9;6;6,1;8,5;6,6;7;01-06-08;8,8
1993;1;10,1;6,5;6,4;6,7;7,9;11,5;8,2;8,4;01-08-04;9,6
1993;3;10,2;7,3;7,2;7,4;8,6;12,4;9;9,4;01-09-01;10,2
1998;1;10;8;7,1;7,4;8,5;13,7;9,3;9,7;01-09-03;10,3
1992;4;10;6,3;6,1;6,4;7,5;11,1;7,8;8;01-08-01;9,4
1993;4;10,4;7,7;7,5;7,6;8,9;12,8;9,3;9,8;01-09-04;10,5
2012;1;8,3;7,6;6,8;7,1;7,5;12,1;8,3;9,6;01-08-04;9,5
1983;2;6,8;5,2;3,9;5,3;5;7,1;5,4;5,7;01-05-07;7,2
1985;4;8,6;6,6;5,8;6,3;7,2;9,6;7,1;7,9;01-07-06;9,2
1996;4;10,3;8,2;7,5;7,8;8,7;13,8;9,2;10,1;01-09-06;10,7
2008;4;7,1;5,9;5,5;5,5;6;9,7;6,5;7,6;01-06-08;7,8
2012;4;8,5;8;7,2;7,4;7,8;12,7;8,6;10,1;01-08-08;10,1
1984;1;6,9;5,4;4,1;5,2;5,3;7,3;5,7;5,9;01-05-09;7,6
1986;2;8,4;6,5;5,2;6;6,9;9,3;7,1;7,5;01-07-03;8,9
1998;2;10;7,8;7;7,4;8,4;13,8;9,3;9,6;01-09-03;10,2
2005;2;9,3;7,3;6,9;7;7,9;12,4;8,3;9,2;01-08-06;8,8
2011;2;8,1;7,2;6,6;6,7;7,1;11,5;8;9,2;01-08-01;9,1
1988;1;8,8;6,5;5,3;5,8;7;9,7;7,3;7,7;01-07-05;9
1995;3;10;7,7;7,1;7,3;8,5;13;8,8;9,6;01-09-01;10
1983;1;6,5;5,1;3,8;5,2;4,9;7;5,3;5,5;01-05-06;7
1985;3;8,3;6,4;5,6;6,1;6,9;9,2;6,9;7,5;01-07-03;9,1
1995;4;10;7,8;7,1;7,4;8,6;13,1;8,8;9,6;01-09-02;10,1
2000;4;7,9;5,3;5,2;5,2;6,5;10,9;7,2;7,4;01-07-01;8,1
2001;4;7,7;5;5,1;5;6,1;10,3;6,5;6,9;01-06-07;7,6
2008;3;7,1;5,6;5,3;5,2;5,8;9,5;6,4;7,4;01-06-06;7,4
2011;3;8,3;7,3;6,7;6,9;7,3;11,7;8,1;9,3;01-08-02;9,2
1991;3;9,8;5,2;4,8;4,7;5,9;9,3;6,4;6,6;01-01-07;8,1
2010;2;8,4;7,3;6,8;6,9;7,3;11,4;7,9;9,3;01-08-02;9,3
1987;4;8,7;6,5;5,4;5,9;7,1;9,7;7,4;7,7;01-07-05;9,1
1984;4;7,6;6,3;4,9;5,9;6;8,4;6,6;6,9;01-06-07;8,7
1994;4;10;8;7,4;7,4;8,8;13;9,1;9,9;01-09-03;10,4
2011;4;8,2;7,4;6,7;6,9;7,3;11,8;8,2;9,4;01-08-02;9,3
2013;1;8,8;8,2;7,5;7,8;8,1;13,1;9;10,5;01-09-01;10,4
1992;2;9,8;5,8;5,5;5,6;6,7;9,7;7;7,4;01-07-05;8,9
1989;1;8,6;6;4,8;5,2;6,3;9,1;6,6;7;01-06-09;8,3
2003;3;9,5;6,6;6,6;6,7;7,8;12,1;7,9;8,6;01-08-04;8,4
2001;3;7,6;4,9;5;4,9;6;10,4;6,5;6,8;01-06-07;7,7
2004;2;9,7;7,1;7;7;8,1;12,7;8,4;9,2;01-08-08;8,8
2003;1;9,2;6,2;6,4;6,4;7,6;11,7;7,7;8,3;01-08-01;8,3
2006;1;9,2;7,3;6,9;7;7,9;12,5;8,4;9,4;01-08-07;9,1
2004;3;9,6;7,2;7,1;7,1;8,2;12,7;8,5;9,4;01-08-08;8,9
2010;1;8,6;7,4;6,9;7;7,5;11,6;8;9,4;01-08-03;9,4
1987;2;8,6;6,7;5,4;6,1;7,2;9,7;7,5;7,6;01-07-05;9,1
2001;2;7,6;5,2;4,9;4,9;6;10,6;6,7;6,9;01-06-07;7,8
2009;2;8,2;7,1;6,5;6,5;7;10,9;7,5;8,9;01-07-09;9,2
1998;3;10,1;7,9;7;7,4;8,3;13,9;9,3;9,6;01-09-03;10,3
1982;4;6,3;5;3,8;5,2;4,9;6,9;5,3;5,3;01-05-05;6,9
2000;3;8,3;5,4;5,4;5,6;6,6;11,4;7,3;7,5;01-07-03;8,3
1982;2;6,3;5,2;3,9;5,3;4,9;7;5,5;5,3;01-05-06;6,8
1982;1;6,4;5,3;4;5,3;5;7;5,6;5,4;01-05-06;6,8
1999;2;9,9;7,5;6,9;7,1;8;13,8;9;9,5;01-09-01;10,2
2005;1;9,3;7,2;6,9;6,9;7,9;12,3;8,3;9,2;01-08-06;8,7
1985;2;7,6;6,1;5;5,7;6,3;8,5;6,5;6,9;01-06-07;8,6
2001;1;7,6;5,4;5;5;6,2;10,6;6,9;7,2;01-06-08;7,9
2006;2;8,9;7,2;6,7;6,7;7,7;12;8,1;9,1;01-08-04;8,9
2005;3;9,2;7,4;6,9;7;7,9;12,5;8,5;9,4;01-08-07;9
1986;1;8,5;6,5;5,5;6,2;7;9,5;7,1;7,7;01-07-04;9
1989;4;8,6;5,7;4,7;4,9;5,9;9;6,3;6,5;01-06-07;8,1
2006;4;8,3;6,6;6,3;6,1;7,2;11,3;7,7;8,7;01-07-08;8,4
2007;2;8,1;6,3;6,2;5,9;7;11,1;7,6;8,6;01-07-06;8,1
1998;4;10,1;7,8;7;7,3;8,3;13,9;9,2;9,6;01-09-03;10,3
1990;3;9;5,2;4,5;4,4;5,7;8,4;6,1;6,1;01-06-05;7,9
2008;1;7;5,5;5,3;5,1;5,8;9,5;6,4;7,3;01-06-05;7,1
2009;4;8,8;7,6;7;7,1;7,7;11,7;8,2;9,6;01-08-05;9,6
1986;3;8,4;6,4;5;5,8;6,8;9,4;7,2;7,3;01-07-02;8,9
1991;4;9,8;5,4;4,9;5;6,1;9,4;6,6;6,8;01-07-01;8,3
1996;1;10,1;8;7,2;7,5;8,6;13,4;9;9,7;01-09-03;10,3
1982;3;6,4;5,1;3,9;5,3;4,9;7,1;5,5;5,5;01-05-06;6,9
2003;2;9,5;6,6;6,6;6,7;7,9;12,1;7,9;8,7;01-08-04;8,5
2007;4;7,4;5,8;5,6;5,3;6,1;10,1;6,8;7,7;01-06-09;7,5
1985;1;7,4;6,1;4,8;5,6;5,9;8,3;6,5;6,7;01-06-06;8,5
1992;3;10;6,1;5,8;6;7,1;10,4;7,4;7,7;01-07-08;9,2
2009;1;7,7;6,5;6;6;6,5;10,3;7;8,3;01-07-03;8,6
2010;4;8,5;7,4;6,9;6,9;7,4;11,6;8,1;9,4;01-08-03;9,2
1993;2;10,2;7;6,9;7,1;8,3;12;8,7;9;01-08-08;9,9
1988;2;8,9;6,4;5,4;5,8;6,9;9,7;7,2;7,7;01-07-05;8,9
1987;1;8,6;6,6;5,3;6;7,2;9,6;7,5;7,6;01-07-05;9,1
2008;2;7,1;5,6;5,3;5,1;5,8;9,6;6,4;7,4;01-06-06;7,3
2004;1;10;7,2;7,2;7,2;8,3;12,9;8,6;9,3;01-01-09;8,9
2006;3;8,8;7;6,7;6,5;7,6;11,9;8,1;9,1;01-08-03;8,9
2007;1;8,4;6,6;6,4;6,1;7,2;11,4;7,8;8,8;01-07-09;8,4
1990;2;8,9;5,3;4,4;4,4;5,7;8,6;6,1;6,1;01-06-05;7,9
1984;2;7,4;5,9;4,6;5,7;5,8;8;6,2;6,5;01-06-04;8,3
1990;4;9,1;5,2;4,5;4,4;5,7;8,4;6,2;6,1;01-06-05;7,9
1992;1;9,8;5,6;5,2;5,3;6,4;9,4;6,8;7,1;01-07-03;8,7
2010;3;8,4;7,4;6,9;6,9;7,4;11,5;8;9,5;01-08-03;9,3
2012;3;8,4;7,8;7;7,3;7,7;12,5;8,5;9,8;01-08-06;9,9
2000;1;9;6,2;5,9;6,2;7,1;12,8;8;8,3;01-08-01;9
2004;4;9,7;7,4;7,1;7,2;8,2;12,8;8,5;9,5;01-08-09;8,9
1988;3;8,9;6,4;5,3;5,6;6,7;9,6;7,1;7,5;01-07-04;8,7
1987;3;8,6;6,6;5,4;6;7,2;9,7;7,5;7,7;01-07-05;9
1994;3;10,1;8,2;7,6;7,5;9;13,1;9,2;10;01-09-05;10,6
1988;4;8,8;6,2;5,1;5,4;6,6;9,4;6,9;7,3;01-07-02;8,5
1997;3;10,2;8,4;7,5;7,8;8,8;14;9,5;10,2;01-09-06;10,7
1999;3;9,6;7,1;6,7;6,9;7,9;13,4;8,9;9,2;01-08-08;9,9
2002;1;8;5,3;5,5;5,3;6,4;10,7;6,8;7,2;01-01-07;7,8
2002;3;8,5;5,6;5,9;5,7;6,9;11;7,2;7,6;01-07-05;7,9
1997;4;10,1;8,2;7,4;7,6;8,6;13,9;9,4;10;01-09-05;10,5
1990;1;8,8;5,5;4,5;4,7;5,8;8,8;6,1;6,3;01-06-06;8
1995;2;9,7;7,7;7;7,1;8,4;12,6;8,7;9,4;01-08-09;9,9
2002;4;8,8;5,9;6,1;6;7,2;11,3;7,4;7,9;01-07-07;8
1983;3;6,7;5,3;3,9;5,2;5;7,1;5,4;5,6;01-05-07;7,2
1989;2;8,5;5,9;4,8;5,1;6,1;8,9;6,4;6,8;01-06-08;8,2
1997;1;10,3;8,4;7,6;7,9;8,8;13,9;9,4;10,2;01-09-07;10,8
1983;4;6,6;5,3;3,9;5,1;5;7;5,4;5,6;01-05-06;7,2
1999;4;9,3;6,7;6,3;6,6;7,5;13,3;8,5;8,7;01-08-05;9,5
1995;1;9,7;7,8;7,2;7,2;8,6;12,6;8,8;9,6;01-01-09;10,1
2005;4;9,3;7,4;7;7,1;8;12,6;8,5;9,4;01-08-07;9,1
2009;3;8,4;7,2;6,6;6,7;7,2;11,1;7,7;9,1;01-01-08;9,2
1991;2;9,7;5,2;4,7;4,7;5,9;9;6,3;6,4;01-06-09;8,1
1989;3;8,6;5,8;4,7;5,1;6;8,9;6,4;6,7;01-06-08;8,2
1991;1;9,4;5,1;4,5;4,6;5,8;8,7;6,3;6,2;01-06-07;8
1994;1;10,5;8;7,7;7,8;9,1;13,2;9,4;10,1;01-09-06;10,7
2003;4;9,7;7;7;7;8,1;12,6;8,3;9,1;01-08-07;8,8
2011;1;8,3;7,3;6,7;6,7;7,2;11,6;8;9,3;01-08-02;9,1
1986;4;8,4;6,4;5,1;5,8;7;9,5;7,4;7,4;01-07-03;9
2000;2;8,6;5,8;5,7;5,8;6,8;11,9;7,6;7,9;01-07-06;8,7
2007;3;8;6,1;6;5,7;6,7;10,8;7,3;8,3;01-07-04;8
1999;1;10,1;7,7;7;7,3;8,1;13,9;9,2;9,6;01-09-02;10,3
