Nanterre(préfecture),17 mins
Antony,31 mins
Asnières-sur-Seine,21 mins
Bagneux,37 mins
Bois-Colombes,29 mins
Boulogne-Billancourt,41 mins
Bourg-la-Reine,32 mins
Châtenay-Malabry,32 mins
Châtillon,44 mins
Chaville,46 mins
Clamart,1 hour 1 min
Clichy,26 mins
Colombes,41 mins
Courbevoie,28 mins
Fontenay-aux-Roses,36 mins
Garches,45 mins
Gennevilliers,40 mins
Issy-les-Moulineaux,34 mins
La Garenne-Colombes,38 mins
Le Plessis-Robinson,36 mins
Levallois-Perret,20 mins
Malakoff,29 mins
Marnes-la-Coquette,1 hour 2 mins
Meudon,43 mins
Montrouge,29 mins
Neuilly-sur-Seine,28 mins
Puteaux,15 mins
Rueil-Malmaison,55 mins
Saint-Cloud,27 mins
Sceaux,40 mins
Sèvres,45 mins
Suresnes,36 mins
Vanves,51 mins
Vaucresson,51 mins
Ville-d'Avray,50 mins
Villeneuve-la-Garenne,35 mins
